label,family,hero,avg_ev_4x,avg_ev_check,avg_best_ev,switch_gain,weight,combos,dollar_contribution
Q8o,any_qx,Qc 8d,-0.063512967,-0.083898115,0.007513732,0.071026698,0.009049773756,12,0.642775549
Q8s,any_qx,Qc 8c,0.255352729,0.131391546,0.286667761,0.031315032,0.003016591252,4,0.094464652
Q9o,any_qx,Qc 9d,0.112568759,0.019870142,0.156714090,0.044145331,0.009049773756,12,0.399505262
Q9s,any_qx,Qc 9c,0.475431814,0.269359281,0.491621800,0.016189986,0.003016591252,4,0.048838571
QJo,any_qx,Qc Jd,0.457705362,0.230003655,0.475656900,0.017951538,0.009049773756,12,0.162457356
QJs,any_qx,Qc Jc,1.029158672,0.703774261,1.037745426,0.008586754,0.003016591252,4,0.025902726
QTo,any_qx,Qc Td,0.361359709,0.175474060,0.384564917,0.023205209,0.009049773756,12,0.210001888
QTs,any_qx,Qc Tc,0.955732594,0.659308620,0.965803032,0.010070438,0.003016591252,4,0.030378395
T8o,tx_explicit,Tc 8d,-0.428364330,-0.182792312,-0.172699372,0.010092939,0.009049773756,12,0.091338818
T8s,tx_explicit,Tc 8c,-0.033134025,0.081919174,0.123831233,0.041912059,0.003016591252,4,0.126431551
T9o,tx_explicit,Tc 9d,-0.223949434,-0.069561952,-0.039611007,0.029950945,0.009049773756,12,0.271049277
T9s,tx_explicit,Tc 9c,0.180100622,0.211384089,0.288021547,0.076637458,0.003016591252,4,0.231183886
