label,hero,family,baseline_action,weight,samples,avg_ev_4x,avg_ev_check,avg_best_ev,avg_baseline_ev,avg_gain_vs_baseline,median_gain_vs_baseline,p05_gain_vs_baseline,p95_gain_vs_baseline,gain_sd,gain_se,gain_ci95_low,gain_ci95_high,check_better_rate,positive_gain_rate,weighted_gain_contribution,weighted_gain_se,elapsed_seconds
K6o,Kc 6d,any_kx,4x,0.00904977375565611,1000,-0.03200362301,-0.103765102531,0.005096859489,-0.03200362301,0.037100482499,0.0,0.0,0.22372587074999983,0.07572510956061637,0.002394638222773401,0.03240699158236413,0.041793973415635864,0.328,0.328,0.000335750972841629,2.167093414274571e-05,741.3286442756653
K7s,Kc 7c,any_kx,4x,0.0030165912518853697,1000,0.423530054442,0.183327366832,0.43131935014,0.423530054442,0.007789295698,0.0,0.0,0.05763113604999992,0.03332214255069423,0.0010537386697700656,0.005723967905250671,0.009854623490749328,0.085,0.085,2.3497121260935143e-05,3.1786988530017065e-06,747.2585010528564
K7o,Kc 7d,any_kx,4x,0.00904977375565611,1000,0.081718907984,-0.042867036959,0.106060537735,0.081718907984,0.024341629751000002,0.0,0.0,0.18104255179999998,0.06644682775875496,0.0021012331901056696,0.02022321269839289,0.028460046803607114,0.222,0.222,0.00022028624209049778,1.9015684978331854e-05,741.6147010326385
K8s,Kc 8c,any_kx,4x,0.0030165912518853697,1000,0.471974797165,0.207800022218,0.478566469481,0.471974797165,0.006591672316,0.0,0.0,0.043619890399999896,0.030571916407322416,0.0009667688828341082,0.004696805305645148,0.008486539326354852,0.08,0.08,1.9884381043740575e-05,2.916346554552363e-06,748.3536040782928
K8o,Kc 8d,any_kx,4x,0.00904977375565611,1000,0.181313032715,0.010192439093,0.199645330325,0.181313032715,0.01833229761,0.0,0.0,0.15098375239999992,0.05964155874764382,0.0018860316884529403,0.014635675500632236,0.02202891971936776,0.158,0.158,0.00016590314579185522,1.70681600764972e-05,742.3140239715576
K9s,Kc 9c,any_kx,4x,0.0030165912518853697,1000,0.715220233647,0.363450061709,0.718664034894,0.715220233647,0.003443801247,0.0,0.0,0.0,0.024287274023235918,0.0007680310407006674,0.001938460407226692,0.004949142086773308,0.035,0.035,1.0388540714932128e-05,2.3168357185540495e-06,748.2651791572571
K9o,Kc 9d,any_kx,4x,0.00904977375565611,1000,0.386723870749,0.132560528,0.397112282332,0.386723870749,0.010388411583,0.0,0.0,0.0950842385999999,0.044364816365205714,0.0014029386768916255,0.007638651776292414,0.013138171389707584,0.085,0.085,9.401277450678732e-05,1.269627761892874e-05,743.8517119884491
KTs,Kc Tc,any_kx,4x,0.0030165912518853697,1000,1.158018741014,0.7363423747,1.159794473653,1.158018741014,0.0017757326390000002,0.0,0.0,0.0,0.01956074426532595,0.0006185650460650699,0.0005633451487124632,0.002988120129287537,0.018,0.018,5.356659544494722e-06,1.8659579066819606e-06,779.8314917087555
KTo,Kc Td,any_kx,4x,0.00904977375565611,1000,0.632136284329,0.290014873229,0.63645131378,0.632136284329,0.004315029451,0.0,0.0,0.0,0.029286845300527116,0.0009261313663066419,0.002499811973038982,0.006130246928961018,0.039,0.039,3.9050040280542994e-05,8.381279333091783e-06,774.8111832141876
KJs,Kc Jc,any_kx,4x,0.0030165912518853697,1000,1.20466695577,0.758673742626,1.206683032691,1.20466695577,0.002016076921,0.0,0.0,0.0,0.017925110651447064,0.0005668417696911732,0.0009050670524053007,0.0031270867895947,0.019,0.019,6.081680003016592e-06,1.7099299236536146e-06,771.7390179634094
