label,hero,outs,samples,avg_ev_4x,avg_ev_check,avg_best_ev,avg_check_minus_4x,check_better_rate,preferred_action_by_average
JTo,Jc Td,3,76,-0.662094834,-0.308087317,-0.308087317,0.354007517,1.000000,check
JTo,Jc Td,4,10,-1.239605471,-0.571678686,-0.571678686,0.667926785,1.000000,check
JTo,Jc Td,5,1,-2.007716646,-0.917379780,-0.917379780,1.090336866,1.000000,check
JTs,Jc Tc,0,259,1.180563840,0.796595644,1.180563840,-0.383968196,0.000000,4x
JTs,Jc Tc,1,379,0.887744691,0.661204615,0.888332537,-0.226540076,0.010554,4x
JTs,Jc Tc,2,277,0.488299570,0.461210990,0.519215612,-0.027088580,0.364621,4x
JTs,Jc Tc,3,75,0.010837470,0.231246348,0.232994385,0.220408878,0.973333,check
JTs,Jc Tc,4,10,-0.391570932,0.092519367,0.092519367,0.484090299,1.000000,check
K2o,Kc 2d,0,232,0.046746775,-0.035462395,0.047696393,-0.082209170,0.047414,4x
K2o,Kc 2d,1,416,-0.351536432,-0.264086458,-0.263825574,0.087449973,0.978365,check
K2o,Kc 2d,2,259,-0.764590901,-0.492627539,-0.492627539,0.271963362,1.000000,check
K2o,Kc 2d,3,84,-1.161795032,-0.692836293,-0.692836293,0.468958740,1.000000,check
K2o,Kc 2d,4,9,-1.535747135,-0.869922959,-0.869922959,0.665824176,1.000000,check
K2s,Kc 2c,0,266,0.330303061,0.152728010,0.330980297,-0.177575052,0.018797,4x
K2s,Kc 2c,1,397,-0.015560718,-0.050718680,0.003539473,-0.035157962,0.345088,4x
K2s,Kc 2c,2,249,-0.368360469,-0.243503517,-0.241604841,0.124856951,0.919679,check
K2s,Kc 2c,3,78,-0.723192976,-0.427019643,-0.427019643,0.296173333,1.000000,check
K2s,Kc 2c,4,9,-1.289499993,-0.733861073,-0.733861073,0.555638919,1.000000,check
K2s,Kc 2c,5,1,-1.466147223,-0.791948958,-0.791948958,0.674198265,1.000000,check
K3o,Kc 3d,0,260,0.148944392,0.019951962,0.150225270,-0.128992430,0.030769,4x
K3o,Kc 3d,1,392,-0.242970472,-0.209261974,-0.200199507,0.033708498,0.693878,check
K3o,Kc 3d,2,254,-0.652551248,-0.436770957,-0.436770957,0.215780292,1.000000,check
K3o,Kc 3d,3,84,-1.035035700,-0.633058979,-0.633058979,0.401976721,1.000000,check
K3o,Kc 3d,4,10,-1.452906140,-0.850136077,-0.850136077,0.602770063,1.000000,check
K3s,Kc 3c,0,215,0.427487068,0.205699903,0.427952576,-0.221787165,0.004651,4x
K3s,Kc 3c,1,440,0.076508970,-0.000501382,0.087692778,-0.077010352,0.211364,4x
K3s,Kc 3c,2,277,-0.258334619,-0.185156359,-0.173113879,0.073178260,0.772563,check
K3s,Kc 3c,3,66,-0.625240010,-0.379143512,-0.379143512,0.246096498,1.000000,check
K3s,Kc 3c,4,2,-0.987505138,-0.566690228,-0.566690228,0.420814910,1.000000,check
K4o,Kc 4d,0,235,0.238923285,0.068084300,0.239366111,-0.170838985,0.008511,4x
K4o,Kc 4d,1,433,-0.137872355,-0.154812386,-0.121436434,-0.016940032,0.344111,4x
K4o,Kc 4d,2,242,-0.540844374,-0.378837580,-0.378837580,0.162006793,1.000000,check
K4o,Kc 4d,3,75,-0.943154557,-0.592418711,-0.592418711,0.350735846,1.000000,check
K4o,Kc 4d,4,14,-1.283974765,-0.767641822,-0.767641822,0.516332944,1.000000,check
K4o,Kc 4d,5,1,-1.631873169,-0.892596102,-0.892596102,0.739277067,1.000000,check
K4s,Kc 4c,0,226,0.526793721,0.261769240,0.526793721,-0.265024481,0.000000,4x
K4s,Kc 4c,1,414,0.170497458,0.048019386,0.173938720,-0.122478073,0.072464,4x
K4s,Kc 4c,2,265,-0.156799827,-0.136269813,-0.108260144,0.020530015,0.600000,check
K4s,Kc 4c,3,80,-0.416480965,-0.266418610,-0.265776269,0.150062356,0.962500,check
K4s,Kc 4c,4,15,-0.827439376,-0.471374942,-0.471374942,0.356064434,1.000000,check
K5o,Kc 5d,0,234,0.334359178,0.116550998,0.334359178,-0.217808181,0.000000,4x
K5o,Kc 5d,1,416,-0.036132421,-0.103289999,-0.030315594,-0.067157578,0.139423,4x
K5o,Kc 5d,2,270,-0.423903290,-0.321478267,-0.320697871,0.102425023,0.948148,check
K5o,Kc 5d,3,72,-0.835789115,-0.541561473,-0.541561473,0.294227642,1.000000,check
K5o,Kc 5d,4,8,-1.199497283,-0.721513505,-0.721513505,0.477983778,1.000000,check
K5s,Kc 5c,0,235,0.634504451,0.320823584,0.634504451,-0.313680868,0.000000,4x
K5s,Kc 5c,1,416,0.296546916,0.118108013,0.297477248,-0.178438904,0.028846,4x
K5s,Kc 5c,2,266,-0.060270542,-0.088565817,-0.036077240,-0.028295276,0.379699,4x
K5s,Kc 5c,3,75,-0.405393428,-0.272078417,-0.268482141,0.133315011,0.906667,check
K5s,Kc 5c,4,8,-0.710453028,-0.422117888,-0.422117888,0.288335140,1.000000,check
K6o,Kc 6d,0,224,0.432738683,0.168257868,0.432738683,-0.264480815,0.000000,4x
K6o,Kc 6d,1,423,0.055002240,-0.057924730,0.055929631,-0.112926970,0.049645,4x
K6o,Kc 6d,2,277,-0.343482321,-0.284014767,-0.278751717,0.059467554,0.833935,check
K6o,Kc 6d,3,70,-0.723454998,-0.490919208,-0.490919208,0.232535791,1.000000,check
K6o,Kc 6d,4,6,-1.069430481,-0.652711557,-0.652711557,0.416718923,1.000000,check
K6s,Kc 6c,0,238,0.715238091,0.359612692,0.715238091,-0.355625400,0.000000,4x
K6s,Kc 6c,1,410,0.365117893,0.148319813,0.365426646,-0.216798080,0.012195,4x
K6s,Kc 6c,2,255,0.046146179,-0.030111720,0.056417857,-0.076257899,0.211765,4x
K6s,Kc 6c,3,87,-0.299427526,-0.216232943,-0.205971367,0.083194582,0.770115,check
K6s,Kc 6c,4,10,-0.660373826,-0.407162317,-0.407162317,0.253211508,1.000000,check
K7o,Kc 7d,0,233,0.545464986,0.229645838,0.545464986,-0.315819149,0.000000,4x
K7o,Kc 7d,1,428,0.161787446,-0.000579085,0.162128552,-0.162366532,0.007009,4x
K7o,Kc 7d,2,258,-0.227221990,-0.224460521,-0.202356474,0.002761469,0.534884,check
K7o,Kc 7d,3,74,-0.648558797,-0.449756219,-0.449756219,0.198802577,1.000000,check
K7o,Kc 7d,4,6,-1.082158759,-0.672162988,-0.672162988,0.409995770,1.000000,check
K7o,Kc 7d,5,1,-1.509883885,-0.900915925,-0.900915925,0.608967960,1.000000,check
K7s,Kc 7c,0,257,0.823154011,0.419744211,0.823154011,-0.403409800,0.000000,4x
K7s,Kc 7c,1,437,0.490005809,0.217510465,0.490028921,-0.272495344,0.002288,4x
K7s,Kc 7c,2,215,0.102596535,-0.005466449,0.105701657,-0.108062984,0.088372,4x
K7s,Kc 7c,3,80,-0.227381099,-0.182695066,-0.166145603,0.044686033,0.675000,check
K7s,Kc 7c,4,11,-0.547348379,-0.346188817,-0.346188817,0.201159562,1.000000,check
K8o,Kc 8d,0,248,0.643036435,0.282063189,0.643036435,-0.360973246,0.000000,4x
K8o,Kc 8d,1,420,0.263902655,0.052663309,0.263902655,-0.211239346,0.000000,4x
K8o,Kc 8d,2,250,-0.149319623,-0.182586631,-0.137742627,-0.033267007,0.304000,4x
K8o,Kc 8d,3,77,-0.592485640,-0.422389441,-0.422389441,0.170096200,1.000000,check
K8o,Kc 8d,4,4,-1.096609751,-0.696336887,-0.696336887,0.400272864,1.000000,check
K8o,Kc 8d,5,1,-1.661379032,-0.921829328,-0.921829328,0.739549704,1.000000,check
K8s,Kc 8c,0,224,0.923164174,0.474350175,0.923164174,-0.448813999,0.000000,4x
K8s,Kc 8c,1,409,0.569934415,0.260706547,0.569934415,-0.309227868,0.000000,4x
K8s,Kc 8c,2,279,0.190194966,0.041711046,0.192709870,-0.148483920,0.060932,4x
K8s,Kc 8c,3,78,-0.184053010,-0.160005359,-0.139117647,0.024047650,0.679487,check
K8s,Kc 8c,4,10,-0.662541409,-0.424035845,-0.424035845,0.238505564,1.000000,check
